"","Year","Month","Flight_Rate_VS_2019"
"1",2020,"01",99.15
"2",2020,"02",100.86
"3",2020,"03",57.84
"4",2020,"04",9.99
"5",2020,"05",11.47
"6",2020,"06",18.28
"7",2020,"07",38.16
"8",2020,"08",48.14
"9",2020,"09",44.16
"10",2020,"10",41.41
"11",2020,"11",34.78
"12",2020,"12",37.34
"13",2021,"01",33.39
"14",2021,"02",29.93
"15",2021,"03",32.05
"16",2021,"04",32.17
"17",2021,"05",35.04
"18",2021,"06",47.41
"19",2021,"07",63.76
"20",2021,"08",69.69
"21",2021,"09",68.95
"22",2021,"10",72
"23",2021,"11",76.11
"24",2021,"12",77.04
"25",2022,"01",66.35
"26",2022,"02",69.13
"27",2022,"03",76.17
"28",2022,"04",83.01
"29",2022,"05",86.96
