"Year","Month","Flight_Rate_VS_2019"
2020,"01",100.96
2020,"02",102.22
2020,"03",57.07
2020,"04",7.64
2020,"05",11.75
2020,"06",22.65
2020,"07",45.72
2020,"08",57.65
2020,"09",52.07
2020,"10",48.6
2020,"11",35.76
2020,"12",45.52
2021,"01",45.09
2021,"02",42.12
2021,"03",40.07
2021,"04",35.16
2021,"05",42.64
2021,"06",53.46
2021,"07",71.05
2021,"08",77.14
2021,"09",72.04
2021,"10",74.07
2021,"11",80.13
2021,"12",82.35
2022,"01",70.17
2022,"02",76.53
2022,"03",81.9
2022,"04",81.31
2022,"05",89.03
