"Year","Month","Flight_Rate_VS_2019"
2020,"01",96.02
2020,"02",96.16
2020,"03",56.71
2020,"04",12.33
2020,"05",13.72
2020,"06",20.11
2020,"07",35.48
2020,"08",41.51
2020,"09",39.74
2020,"10",37.36
2020,"11",30.41
2020,"12",31.39
2021,"01",26.56
2021,"02",23.83
2021,"03",27.15
2021,"04",29.05
2021,"05",29.99
2021,"06",38.83
2021,"07",53.21
2021,"08",58.31
2021,"09",58.39
2021,"10",62.91
2021,"11",67.48
2021,"12",67.01
2022,"01",55.02
2022,"02",53.83
2022,"03",61.26
2022,"04",70.86
2022,"05",74.16
