"Year","Month","Flight_Rate_VS_2019"
2020,"01",97.42
2020,"02",102.43
2020,"03",57.87
2020,"04",6.16
2020,"05",6.93
2020,"06",12.01
2020,"07",42.17
2020,"08",55.63
2020,"09",42.53
2020,"10",37.81
2020,"11",35.42
2020,"12",41.2
2021,"01",33.48
2021,"02",29.37
2021,"03",32.88
2021,"04",33.56
2021,"05",40.81
2021,"06",53
2021,"07",72.28
2021,"08",78.1
2021,"09",75.48
2021,"10",79.46
2021,"11",81.98
2021,"12",85.91
2022,"01",77.24
2022,"02",80.5
2022,"03",86.7
2022,"04",93.8
2022,"05",94.49
