"Year","Month","Flight_Rate_VS_2019"
2020,"01",97.24
2020,"02",98.59
2020,"03",61.67
2020,"04",8.77
2020,"05",9.57
2020,"06",12.35
2020,"07",27.56
2020,"08",40.42
2020,"09",39.49
2020,"10",35.79
2020,"11",25.12
2020,"12",29.11
2021,"01",21.07
2021,"02",16.68
2021,"03",18.29
2021,"04",18.56
2021,"05",21.26
2021,"06",29.6
2021,"07",39.03
2021,"08",48.73
2021,"09",54.33
2021,"10",59.35
2021,"11",65.16
2021,"12",66.5
2022,"01",53.75
2022,"02",61.09
2022,"03",70.64
2022,"04",80.1
2022,"05",83.64
